# Time Tags Distribution
# 2016-02-18 12:52:12
# Unit Time Diff: s
# Unit Count: 1
# Time Diff ; Count
 3.6324324E-007 ;  5.5500000E+002
 3.6405405E-007 ;  5.6400000E+002
 3.6486486E-007 ;  5.8300000E+002
 3.6567568E-007 ;  5.4800000E+002
 3.6648649E-007 ;  6.0800000E+002
 3.6729730E-007 ;  6.0600000E+002
 3.6810811E-007 ;  6.1900000E+002
 3.6891892E-007 ;  5.6400000E+002
 3.6972973E-007 ;  5.7400000E+002
 3.7054054E-007 ;  5.7900000E+002
 3.7135135E-007 ;  5.7700000E+002
 3.7216216E-007 ;  5.7600000E+002
 3.7297297E-007 ;  5.3600000E+002
 3.7378378E-007 ;  5.6600000E+002
 3.7459459E-007 ;  5.9500000E+002
 3.7540541E-007 ;  5.7700000E+002
 3.7621622E-007 ;  6.4000000E+002
 3.7702703E-007 ;  6.0200000E+002
 3.7783784E-007 ;  6.2600000E+002
 3.7864865E-007 ;  5.5900000E+002
 3.7945946E-007 ;  5.9600000E+002
 3.8027027E-007 ;  5.7800000E+002
 3.8108108E-007 ;  5.7500000E+002
 3.8189189E-007 ;  5.3200000E+002
 3.8270270E-007 ;  5.8400000E+002
 3.8351351E-007 ;  5.8200000E+002
 3.8432432E-007 ;  5.8400000E+002
 3.8513514E-007 ;  5.7800000E+002
 3.8594595E-007 ;  5.9800000E+002
 3.8675676E-007 ;  5.8300000E+002
 3.8756757E-007 ;  5.8600000E+002
 3.8837838E-007 ;  5.7500000E+002
 3.8918919E-007 ;  5.8800000E+002
 3.9000000E-007 ;  5.6200000E+002
 3.9081081E-007 ;  5.8800000E+002
 3.9162162E-007 ;  5.6700000E+002
 3.9243243E-007 ;  5.9100000E+002
 3.9324324E-007 ;  5.8600000E+002
 3.9405405E-007 ;  5.5500000E+002
 3.9486486E-007 ;  6.1200000E+002
 3.9567568E-007 ;  6.3600000E+002
 3.9648649E-007 ;  6.1200000E+002
 3.9729730E-007 ;  5.6400000E+002
 3.9810811E-007 ;  5.9100000E+002
 3.9891892E-007 ;  5.4500000E+002
 3.9972973E-007 ;  5.4900000E+002
 4.0054054E-007 ;  5.8400000E+002
 4.0135135E-007 ;  5.5600000E+002
 4.0216216E-007 ;  5.7300000E+002
 4.0297297E-007 ;  5.5900000E+002
 4.0378378E-007 ;  6.1500000E+002
 4.0459459E-007 ;  6.2700000E+002
 4.0540541E-007 ;  6.0100000E+002
 4.0621622E-007 ;  5.8500000E+002
 4.0702703E-007 ;  5.7600000E+002
 4.0783784E-007 ;  5.6200000E+002
 4.0864865E-007 ;  6.1200000E+002
 4.0945946E-007 ;  5.2900000E+002
 4.1027027E-007 ;  5.5700000E+002
 4.1108108E-007 ;  5.8100000E+002
 4.1189189E-007 ;  6.2100000E+002
 4.1270270E-007 ;  5.9000000E+002
 4.1351351E-007 ;  5.7200000E+002
 4.1432432E-007 ;  5.9300000E+002
 4.1513514E-007 ;  5.9400000E+002
 4.1594595E-007 ;  6.2300000E+002
 4.1675676E-007 ;  5.7400000E+002
 4.1756757E-007 ;  5.5400000E+002
 4.1837838E-007 ;  5.5000000E+002
 4.1918919E-007 ;  5.5600000E+002
 4.2000000E-007 ;  6.0200000E+002
 4.2081081E-007 ;  5.9400000E+002
 4.2162162E-007 ;  5.8100000E+002
 4.2243243E-007 ;  6.1300000E+002
 4.2324324E-007 ;  6.2400000E+002
 4.2405405E-007 ;  5.8500000E+002
 4.2486486E-007 ;  5.4000000E+002
 4.2567568E-007 ;  5.8000000E+002
 4.2648649E-007 ;  5.7900000E+002
